PCode,PCode Name,Governorate,District,Cadastral,Local Name,Latitude,Longitude,Shelter Type,Status,Number of tents,Number of Individuals,Date of update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Number of 1000 Litre Tanks,Type of Water Source,Waste Disposal,Type of Contract
#loc+code,#loc,#adm1,#adm2,#adm3,#loc+localname,#geo+lat,#geo+lon,#shelter+type,#status,#shelter+tents,#population,#date,#org,#date+updated,#date+discovered,#date+created,#wash+latrines,#wash+water+tanks,#wash+watersource,#wash+wastedisposal,#shelter+contracttype
35111-01-049,Halba 049,North,Akkar,Halba,Sahel Halba,34.54837,36.06644,IS- Informal Settlement,Less than 4,1,5,12/21/15,Reach,Last Update - 2015,5/11/15,10/1/14,1,0,Well,Municipality Collection,Verbal
35111-01-050,Halba 050,North,Akkar,Halba,Sammouniye,34.56139,36.06495,IS- Informal Settlement,Less than 4,2,11,12/17/15,Reach,Last Update - 2015,8/14/15,8/4/15,1,0,Well,Burn it,Written
35111-01-051,Halba 051,North,Akkar,Halba,Sahel Halba,34.55729,36.07541,IS- Informal Settlement,Less than 4,1,3,12/16/15,Reach,Last Update - 2015,8/20/15,3/20/15,0,0,Well,Burn it,Verbal
35111-01-052,Halba 052,North,Akkar,Halba,Cheikh Mohamad-Halba,34.55165,36.07009,IS- Informal Settlement,Less than 4,1,10,12/17/15,Reach,Last Update - 2015,8/20/15,8/1/15,1,0,Well,Municipality Collection,Verbal
35111-01-054,Halba 054,North,Akkar,Halba,Halba 054,34.55504,36.06673,IS- Informal Settlement,Active,5,31,12/17/15,Reach,Last Update - 2015,8/21/15,8/17/15,4,0,Well,Burn it,Verbal
35111-01-056,Halba 056,North,Akkar,Halba,Tall Aabbas El-Gharbi,34.57014,36.0771,IS- Informal Settlement,Active,4,26,12/15/15,Reach,Last Update - 2015,10/12/15,7/12/15,2,2,Well,Burn it,Verbal
35111-01-057,Halba 057,North,Akkar,Halba,Halba,34.55831,36.0741,IS- Informal Settlement,Less than 4,1,3,12/16/15,Reach,Last Update - 2015,10/27/15,9/24/15,0,0,Well,Burn it,Verbal
35111-01-058,Halba 058,North,Akkar,Halba,Sahl Halba,34.55204,36.07063,IS- Informal Settlement,Less than 4,1,4,12/17/15,Reach,Last Update - 2015,11/16/15,7/25/15,1,0,Well,Municipality Collection,Verbal
35111-01-059,Halba 059,North,Akkar,Halba,Cheikh Mohamad-Sahl,34.55501,36.07476,IS- Informal Settlement,Less than 4,1,8,12/16/15,Reach,Last Update - 2015,12/16/15,10/20/15,1,0,Well,Burry it,Verbal
35113-01-001,Cheikh Mohammad 001,North,Akkar,Cheikh Mohammad,Cheikh Mohamad-Sahl,34.55249,36.07588,IS- Informal Settlement,Active,10,60,12/16/15,Reach,Last Update - 2015,3/3/14,4/1/11,7,1,Well,Burn it,Verbal
35113-01-003,Cheikh Mohammad 003,North,Akkar,Cheikh Mohammad,Cheikh Mohamad 3,34.55104,36.0783,IS- Informal Settlement,Active,14,70,12/17/15,Reach,Last Update - 2015,2/3/14,1/2/12,4,1,Well,Burry it,Written
35113-01-004,Cheikh Mohammad 004,North,Akkar,Cheikh Mohammad,Cheikh Mohamad-Halba,34.55896,36.08343,IS- Informal Settlement,Active,19,73,12/17/15,Reach,Last Update - 2015,4/8/15,2/1/15,7,2,Well,Burry it,Written
35121-01-001,Cheikh Taba Es-Sahl 001,North,Akkar,Cheikh Taba Es-Sahl,Trad Ibrahim 1-Hokr el Cheikh Taba,34.5439,36.0664,IS- Informal Settlement,Active,16,109,12/21/15,Reach,Last Update - 2015,2/5/14,3/3/12,10,0,Well,Burn it,Verbal
35123-01-001,Cheikh Taba 001,North,Akkar,Cheikh Taba,Hokr el Cheikh Taba,34.53901,36.07272,IS- Informal Settlement,Less than 4,1,5,12/21/15,Reach,Last Update - 2015,7/3/14,4/4/14,0,0,Well,Municipality Collection,Verbal
35125-01-001,Jdidet Ej-Joumeh 001,North,Akkar,Jdidet Ej-Joumeh,Khaled el Husein 1- Sahl el Jdideh,34.54289,36.06511,IS- Informal Settlement,Active,22,104,12/21/15,Reach,Last Update - 2015,2/5/14,8/31/13,9,1,Water Trucking,Burn it,Verbal
35125-01-002,Jdidet Ej-Joumeh 002,North,Akkar,Jdidet Ej-Joumeh,Sahel Jdideh 2,34.5464,36.05763,IS- Informal Settlement,Active,5,40,12/21/15,Reach,Last Update - 2015,2/5/14,7/1/13,2,1,Well,Burry it,Verbal
35125-01-004,Jdidet Ej-Joumeh 004,North,Akkar,Jdidet Ej-Joumeh,Sahel Jdideh 4,34.545,36.059,IS- Informal Settlement,Active,4,25,12/20/15,Reach,Last Update - 2015,7/3/14,5/1/11,2,0,Well,Burn it,Verbal
35125-01-006,Jdidet Ej-Joumeh 006,North,Akkar,Jdidet Ej-Joumeh,Sahel Jdideh,34.5438,36.0599,IS- Informal Settlement,Less than 4,1,7,12/21/15,Reach,Last Update - 2015,7/3/14,6/1/12,0,0,Well,Burn it,Verbal
35125-01-008,Jdidet Ej-Joumeh 008,North,Akkar,Jdidet Ej-Joumeh,Sahel Jdideh,34.53902,36.06241,IS- Informal Settlement,Less than 4,1,19,12/21/15,Reach,Last Update - 2015,8/24/15,9/24/12,0,1,Well,Municipality Collection,Verbal
35125-01-009,Jdidet Ej-Joumeh 009,North,Akkar,Jdidet Ej-Joumeh,Sahel El Jdideh 9,34.54666,36.05702,IS- Informal Settlement,Less than 4,3,15,12/21/15,Reach,Last Update - 2015,11/18/15,10/31/15,0,0,Well,Burry it,Verbal
35125-01-010,Jdidet Ej-Joumeh 010,North,Akkar,Jdidet Ej-Joumeh,Sahel jdideh,34.54042,36.06503,IS- Informal Settlement,Less than 4,1,6,12/21/15,Reach,Last Update - 2015,11/19/15,6/5/12,0,0,Well,Burn it,Verbal
35127-01-001,Zouarib 001,North,Akkar,Zouarib,Mafraq Al Hekr,34.54047,36.07096,IS- Informal Settlement,Less than 4,1,8,12/21/15,Reach,Last Update - 2015,7/3/14,8/1/13,0,0,Water Network,Municipality Collection,Verbal
35128-01-001,Majdel Akkar 001,North,Akkar,Majdel Akkar,Majdel 1,34.575,36.2131,IS- Informal Settlement,Less than 4,1,5,12/14/15,Reach,Last Update - 2015,6/24/14,10/1/14,0,1,Water Trucking,Municipality Collection,Verbal
35129-01-001,Minyara 001,North,Akkar,Minyara,Sahel Minyara 1,34.546,36.0547,IS- Informal Settlement,Active,70,480,12/21/15,Reach,Last Update - 2015,3/3/14,6/1/11,20,1,Water Trucking,Burn it,Written
35129-01-002,Minyara 002,North,Akkar,Minyara,Sahel Minyara 002,34.53739,36.05773,IS- Informal Settlement,Active,9,80,12/22/15,Reach,Last Update - 2015,3/3/14,8/1/12,4,1,Water Trucking,Burn it,Verbal
35129-01-004,Minyara 004,North,Akkar,Minyara,Sahel Minyara 004,34.5425,36.0556,IS- Informal Settlement,Active,5,21,12/22/15,Reach,Last Update - 2015,3/3/14,10/1/13,3,0,Water Trucking,Burn it,Verbal
35129-01-005,Minyara 005,North,Akkar,Minyara,Minyara,34.53625,36.06027,IS- Informal Settlement,Less than 4,2,14,12/22/15,Reach,Last Update - 2015,7/4/14,7/1/12,1,0,Well,Burn it,Verbal
35129-01-007,Minyara 007,North,Akkar,Minyara,Sahel Minyara 007,34.54009,36.05693,IS- Informal Settlement,Less than 4,3,10,12/22/15,Reach,Last Update - 2015,7/4/14,1/21/13,2,0,Water Trucking,Burn it,Verbal
35129-01-009,Minyara 009,North,Akkar,Minyara,Sahel Minyara 009,34.54398,36.05546,IS- Informal Settlement,Active,4,33,12/21/15,Reach,Last Update - 2015,7/4/14,9/1/12,3,1,Water Trucking,Burn it,Verbal
35129-01-010,Minyara 010,North,Akkar,Minyara,Mafraq Minyara,34.53682,36.05699,IS- Informal Settlement,Less than 4,2,4,12/22/15,Reach,Last Update - 2015,5/13/15,1/1/02,1,0,Water Trucking,Burn it,Verbal
35129-01-011,Minyara 011,North,Akkar,Minyara,Minyara 11- Jdide,34.54674,36.05523,IS- Informal Settlement,Active,18,86,12/21/15,Reach,Last Update - 2015,8/24/15,5/31/11,8,0,Water Trucking,Burn it,Verbal
35137-01-001,Machha 001,North,Akkar,Machha,Daher Machha,34.55128,36.09623,IS- Informal Settlement,Less than 4,1,13,12/14/15,Reach,Last Update - 2015,10/9/15,10/8/14,0,2,Well,Municipality Collection,Verbal
35141-01-003,Aarqa 003,North,Akkar,Aarqa,Sammouniye-Aarqa,34.55095,36.04687,IS- Informal Settlement,Less than 4,1,6,12/22/15,Reach,Last Update - 2015,8/26/14,6/1/13,1,0,Well,Burn it,Verbal
35141-01-004,Aarqa 004,North,Akkar,Aarqa,Hossniyeh 4,34.52915,36.02978,IS- Informal Settlement,Active,13,54,12/23/15,Reach,Last Update - 2015,4/3/14,10/1/13,9,1,Well,Municipality Collection,None
35141-01-005,Aarqa 005,North,Akkar,Aarqa,Hossniyeh 5,34.5284,36.02991,IS- Informal Settlement,Active,30,114,12/23/15,Reach,Last Update - 2015,4/3/14,2/1/13,9,0,Well,Municipality Collection,None
35141-01-008,Aarqa 008,North,Akkar,Aarqa,Sahel Aarqa,34.5355,36.0407,IS- Informal Settlement,Less than 4,2,16,12/23/15,Reach,Last Update - 2015,4/23/14,7/1/13,2,0,Well,Burry it,Verbal
35141-01-009,Aarqa 009,North,Akkar,Aarqa,Sahel Aarqa 9,34.546,36.0348,IS- Informal Settlement,Active,13,75,12/22/15,Reach,Last Update - 2015,4/23/14,4/1/12,10,0,Water Trucking,Burn it,Verbal
35141-01-010,Aarqa 010,North,Akkar,Aarqa,Sahel Aarqa 10,34.54656,36.03877,IS- Informal Settlement,Active,6,25,12/22/15,Reach,Last Update - 2015,4/23/14,6/1/13,2,2,Well,Burn it,Verbal
35141-01-011,Aarqa 011,North,Akkar,Aarqa,Sahel Aarqa 11,34.5485,36.04054,IS- Informal Settlement,Active,10,54,12/22/15,Reach,Last Update - 2015,7/14/14,5/1/11,5,4,Well,Burry it,Verbal
35141-01-012,Aarqa 012,North,Akkar,Aarqa,Sahel Aarqa 12,34.5553,36.0391,IS- Informal Settlement,Active,9,40,12/23/15,Reach,Last Update - 2015,4/23/14,4/1/14,2,0,Well,Burn it,Written
35141-01-013,Aarqa 013,North,Akkar,Aarqa,Hossniyeh,34.52569,36.02988,IS- Informal Settlement,Active,4,49,12/23/15,Reach,Last Update - 2015,3/3/14,5/1/12,4,0,Well,Municipality Collection,None
35141-01-014,Aarqa 014,North,Akkar,Aarqa,Fawzi 14-Sahl Arqa,34.53802,36.03591,IS- Informal Settlement,Active,31,180,12/23/15,Reach,Last Update - 2015,4/3/14,11/15/12,10,1,Well,Municipality Collection,Verbal
35141-01-016,Aarqa 016,North,Akkar,Aarqa,Sahel Aarqa 16,34.54293,36.03359,IS- Informal Settlement,Active,6,36,12/23/15,Reach,Last Update - 2015,4/23/14,12/1/11,2,0,Well,Burry it,Written
35141-01-017,Aarqa 017,North,Akkar,Aarqa,Aarqa 17,34.5373,36.0497,IS- Informal Settlement,Active,8,44,12/22/15,Reach,Last Update - 2015,4/24/14,5/1/12,6,4,Well,Burn it,Verbal
35141-01-019,Aarqa 019,North,Akkar,Aarqa,Jeser Aarqa 19,34.52816,36.0358,IS- Informal Settlement,Active,12,60,12/23/15,Reach,Last Update - 2015,4/24/14,4/1/12,9,0,Water Trucking,Municipality Collection,Verbal
35141-01-020,Aarqa 020,North,Akkar,Aarqa,Aarqa 20,34.52795,36.03629,IS- Informal Settlement,Active,37,240,12/23/15,Reach,Last Update - 2015,4/24/14,6/1/13,13,2,Water Trucking,Municipality Collection,Verbal
35141-01-021,Aarqa 021,North,Akkar,Aarqa,Aarqa 21,34.52763,36.03347,IS- Informal Settlement,Active,42,155,12/23/15,Reach,Last Update - 2015,4/24/14,3/1/13,10,0,Water Trucking,Municipality Collection,Verbal
35141-01-022,Aarqa 022,North,Akkar,Aarqa,Aarqa 22,34.52704,36.03245,IS- Informal Settlement,Active,6,25,12/23/15,Reach,Last Update - 2015,4/24/14,7/1/13,4,0,Well,Burry it,Verbal
35141-01-023,Aarqa 023,North,Akkar,Aarqa,Aarqa 23,34.52954,36.03687,IS- Informal Settlement,Active,11,50,12/23/15,Reach,Last Update - 2015,4/24/14,9/1/12,2,1,Water Trucking,Municipality Collection,Verbal
35141-01-025,Aarqa 025,North,Akkar,Aarqa,Hossniyeh,34.52634,36.02966,IS- Informal Settlement,Active,26,110,12/23/15,Reach,Last Update - 2015,4/30/14,9/2/13,9,0,Well,Municipality Collection,None
35141-01-027,Aarqa 027,North,Akkar,Aarqa,Sahel Aarqa 27,34.53429,36.03248,IS- Informal Settlement,Active,7,13,12/23/15,Reach,Last Update - 2015,7/9/14,7/1/14,1,0,Water Network,Burn it,Verbal
35141-01-028,Aarqa 028,North,Akkar,Aarqa,Sammouniye-Aarqa,34.551,36.04888,IS- Informal Settlement,Less than 4,2,14,12/22/15,Reach,Last Update - 2015,7/18/14,12/28/13,1,1,Water Trucking,Burn it,Verbal
35141-01-029,Aarqa 029,North,Akkar,Aarqa,Sahel Aarqa,34.53694,36.03245,IS- Informal Settlement,Less than 4,2,9,12/23/15,Reach,Last Update - 2015,7/9/14,10/16/14,2,1,Well,Burn it,Verbal
35141-01-030,Aarqa 030,North,Akkar,Aarqa,Sahel Aarqa 30,34.55791,36.03563,IS- Informal Settlement,Active,5,18,12/22/15,Reach,Last Update - 2015,7/10/14,9/1/13,3,1,Well,Burn it,Verbal
35141-01-031,Aarqa 031,North,Akkar,Aarqa,Sahel Aarqa,34.55638,36.03999,IS- Informal Settlement,Less than 4,3,23,12/23/15,Reach,Last Update - 2015,7/10/14,7/1/13,1,0,Well,Burn it,Verbal
35141-01-032,Aarqa 032,North,Akkar,Aarqa,Tall Sebaal,34.55458,36.03242,IS- Informal Settlement,Active,7,35,12/23/15,Reach,Last Update - 2015,7/14/14,4/1/13,3,1,Well,Burn it,Verbal
35141-01-045,Aarqa 045,North,Akkar,Aarqa,Aarqa,34.53026,36.03815,IS- Informal Settlement,Less than 4,2,16,12/23/15,Reach,Last Update - 2015,7/10/14,2/1/14,1,0,Well,Municipality Collection,Verbal
35141-01-049,Aarqa 049,North,Akkar,Aarqa,Sahel Aarqa 49,34.53676,36.03773,IS- Informal Settlement,Active,10,84,12/23/15,Reach,Last Update - 2015,7/8/14,2/1/14,4,0,Water Network,Municipality Collection,Verbal
35141-01-050,Aarqa 050,North,Akkar,Aarqa,Sahel Aarqa,34.53587,36.03938,IS- Informal Settlement,Less than 4,1,9,12/23/15,Reach,Last Update - 2015,7/7/14,4/23/14,1,0,Well,Burn it,Verbal
35141-01-052,Aarqa 052,North,Akkar,Aarqa,Sahel Aarqa,34.54901,36.03635,IS- Informal Settlement,Less than 4,3,22,12/22/15,Reach,Last Update - 2015,9/9/14,9/10/14,3,1,Well,Burn it,Verbal
35141-01-053,Aarqa 053,North,Akkar,Aarqa,Sahel Aarqa,34.54729,36.05261,IS- Informal Settlement,Less than 4,1,10,12/22/15,Reach,Last Update - 2015,11/26/14,10/1/13,1,0,Well,Burn it,Verbal
35141-01-054,Aarqa 054,North,Akkar,Aarqa,Sahel Aarqa- Marlayet Haddara,34.53786,36.0337,IS- Informal Settlement,Less than 4,3,18,12/23/15,Reach,Last Update - 2015,11/26/14,11/1/14,2,1,Well,Burn it,Verbal
35141-01-055,Aarqa 055,North,Akkar,Aarqa,Sahel Aarqa,34.55674,36.03624,IS- Informal Settlement,Less than 4,1,0,12/22/15,Reach,Last Update - 2015,11/27/14,11/1/14,0,0,,,
35141-01-057,Aarqa 057,North,Akkar,Aarqa,Sahel Aarqa,34.54816,36.04072,IS- Informal Settlement,Less than 4,1,8,12/22/15,Reach,Last Update - 2015,5/18/15,8/27/08,1,0,Well,Burn it,None
35141-01-058,Aarqa 058,North,Akkar,Aarqa,Sahel Aarqa,34.54352,36.04263,IS- Informal Settlement,Less than 4,2,16,12/22/15,Reach,Last Update - 2015,5/18/15,12/1/14,1,0,Well,Burn it,Verbal
35141-01-059,Aarqa 059,North,Akkar,Aarqa,Sahel Aarqa,34.55117,36.03867,IS- Informal Settlement,Less than 4,1,0,12/22/15,Reach,Last Update - 2015,5/18/15,8/27/13,1,0,Water Network,Burry it,None
35141-01-065,Aarqa 065,North,Akkar,Aarqa,Merlayet Melhem ( Mafraq Al Bahsa) -Sahel Aarqa,34.54443,36.02982,IS- Informal Settlement,Less than 4,2,10,12/23/15,Reach,Last Update - 2015,5/19/15,11/1/14,0,1,Well,Burn it,None
35141-01-068,Aarqa 068,North,Akkar,Aarqa,Sahel Aarqa,34.5347,36.03672,IS- Informal Settlement,Less than 4,1,6,12/23/15,Reach,Last Update - 2015,5/15/15,11/15/14,0,0,Well,Burn it,Verbal
35141-01-070,Aarqa 070,North,Akkar,Aarqa,Sahel Aarqa,34.53869,36.03157,IS- Informal Settlement,Less than 4,3,11,12/23/15,Reach,Last Update - 2015,5/15/15,4/1/15,1,0,Well,Burn it,Verbal
35141-01-071,Aarqa 071,North,Akkar,Aarqa,Jeser Aarqa 071,34.53603,36.05478,IS- Informal Settlement,Active,8,45,12/22/15,Reach,Last Update - 2015,5/13/15,6/22/12,3,1,Well,Municipality Collection,Verbal
35141-01-072,Aarqa 072,North,Akkar,Aarqa,Qaabarine-Sahel Aarqa,34.56603,36.04122,IS- Informal Settlement,Active,7,50,12/23/15,Reach,Last Update - 2015,8/3/15,7/31/15,0,2,Well,Burn it,Written
35141-01-073,Aarqa 073,North,Akkar,Aarqa,Jeser Aarqa,34.53971,36.04356,IS- Informal Settlement,Less than 4,3,21,12/22/15,Reach,Last Update - 2015,8/26/15,8/7/15,1,1,Well,Burn it,Verbal
35141-01-074,Aarqa 074,North,Akkar,Aarqa,Sahel Aarqa 074,34.53514,36.03746,IS- Informal Settlement,Active,10,71,12/23/15,Reach,Last Update - 2015,8/26/15,8/20/15,2,0,Well,Municipality Collection,Verbal
35141-01-075,Aarqa 075,North,Akkar,Aarqa,Aarqa,34.53941,36.03609,IS- Informal Settlement,Less than 4,3,11,12/23/15,Reach,Last Update - 2015,8/27/15,8/8/15,3,0,Well,Municipality Collection,Verbal
35141-01-076,Aarqa 076,North,Akkar,Aarqa,Sahel Aarqa,34.55289,36.03491,IS- Informal Settlement,Less than 4,2,9,12/22/15,Reach,Last Update - 2015,8/14/15,8/31/15,1,0,Well,Burn it,Verbal
35141-01-078,Aarqa 078,North,Akkar,Aarqa,Sammouniye,34.55466,36.04873,IS- Informal Settlement,Less than 4,1,0,12/21/15,Reach,Last Update - 2015,10/28/15,6/28/14,0,0,,,
35141-01-079,Aarqa 079,North,Akkar,Aarqa,Sahl Aarqa,34.55838,36.03889,IS- Informal Settlement,Less than 4,2,22,12/23/15,Reach,Last Update - 2015,11/12/15,9/5/15,2,1,Well,Burn it,Verbal
35141-01-080,Aarqa 080,North,Akkar,Aarqa,Sahel Aarqa ,34.5465,36.03689,IS- Informal Settlement,Less than 4,2,14,12/22/15,Reach,Last Update - 2015,11/12/15,9/12/15,1,0,Well,Burn it,Verbal
35141-01-081,Aarqa 081,North,Akkar,Aarqa,Sahl Aarqa,34.53626,36.03047,IS- Informal Settlement,Less than 4,2,6,12/23/15,Reach,Last Update - 2015,11/16/15,10/31/15,1,0,River,Burn it,Written
35147-01-001,Bqerzla 001,North,Akkar,Bqerzla,Bqarzla 1,34.5105,36.059,IS- Informal Settlement,Active,4,20,12/28/15,Reach,Last Update - 2015,3/3/14,9/1/13,2,1,Well,Municipality Collection,None
35147-01-002,Bqerzla 002,North,Akkar,Bqerzla,Bqarezla 2,34.50639,36.05465,IS- Informal Settlement,Active,5,30,12/28/15,Reach,Last Update - 2015,7/2/14,9/1/13,3,0,Well,Municipality Collection,Verbal
35147-01-003,Bqerzla 003,North,Akkar,Bqerzla,Bqarezla 3,34.5098,36.0587,IS- Informal Settlement,Active,5,28,12/28/15,Reach,Last Update - 2015,7/2/14,6/1/13,3,1,Well,Municipality Collection,Verbal
35147-01-004,Bqerzla 004,North,Akkar,Bqerzla, Bqarezla,34.51208,36.05829,IS- Informal Settlement,Less than 4,2,4,12/28/15,Reach,Last Update - 2015,7/2/14,10/1/13,1,1,Well,Municipality Collection,None
35147-01-009,Bqerzla 009,North,Akkar,Bqerzla,Bqarezla 9,34.5111,36.06123,IS- Informal Settlement,Active,9,40,12/28/15,Reach,Last Update - 2015,7/2/14,4/1/13,4,0,Well,Municipality Collection,None
35149-01-003,Deir Dalloum 003,North,Akkar,Deir Dalloum,Deir Dalloum- Borj Al Arab,34.52323,36.01424,IS- Informal Settlement,Active,13,63,12/28/15,Reach,Last Update - 2015,4/30/14,5/1/11,5,0,Well,Burn it,None
35149-01-004,Deir Dalloum 004,North,Akkar,Deir Dalloum,Borj Al Arab,34.52156,36.01235,IS- Informal Settlement,Active,11,40,12/29/15,Reach,Last Update - 2015,4/30/14,9/1/13,5,0,Well,Burn it,None
35149-01-006,Deir Dalloum 006,North,Akkar,Deir Dalloum,Deir Dalloum-Borj Al Arab,34.52323,36.01403,IS- Informal Settlement,Active,12,46,12/28/15,Reach,Last Update - 2015,4/30/14,4/1/11,6,3,Water Trucking,Dump it outside the camp,None
35149-01-007,Deir Dalloum 007,North,Akkar,Deir Dalloum,Deir Dalloum-Mafraq Berqayel,34.52527,36.01242,IS- Informal Settlement,Active,18,78,12/28/15,Reach,Last Update - 2015,4/25/14,6/1/11,9,2,Well,Dump it outside the camp,None
35149-01-008,Deir Dalloum 008,North,Akkar,Deir Dalloum,Deir Dalloum 008,34.52995,36.01614,IS- Informal Settlement,Active,7,32,12/29/15,Reach,Last Update - 2015,4/25/14,1/1/13,4,1,Well,Burn it,None
35149-01-009,Deir Dalloum 009,North,Akkar,Deir Dalloum,Deir Dalloum 009,34.52896,36.01741,IS- Informal Settlement,Active,15,82,12/29/15,Reach,Last Update - 2015,4/25/14,4/1/12,6,1,Well,Burn it,None
35149-01-012,Deir Dalloum 012,North,Akkar,Deir Dalloum,Deir Dalloum-Al Amara,34.52711,36.01111,IS- Informal Settlement,Active,4,22,12/28/15,Reach,Last Update - 2015,4/25/14,8/1/13,2,2,Well,Dump it outside the camp,None
35149-01-013,Deir Dalloum 013,North,Akkar,Deir Dalloum,Al Bahssa,34.5349,36.0196,IS- Informal Settlement,Active,6,30,12/28/15,Reach,Last Update - 2015,4/28/14,11/1/12,4,0,Well,Dump it outside the camp,Verbal
35149-01-014,Deir Dalloum 014,North,Akkar,Deir Dalloum,Deir Dalloum 014,34.53207,36.01698,IS- Informal Settlement,Active,10,78,12/29/15,Reach,Last Update - 2015,4/28/14,8/1/12,5,2,Well,Burn it,Verbal
35149-01-015,Deir Dalloum 015,North,Akkar,Deir Dalloum,Deir Dalloum,34.52923,36.01228,IS- Informal Settlement,Less than 4,1,7,12/29/15,Reach,Last Update - 2015,4/30/14,9/1/13,1,1,Well,Municipality Collection,None
35149-01-020,Deir Dalloum 020,North,Akkar,Deir Dalloum,Deir Dalloum 020,34.52991,36.01632,IS- Informal Settlement,Active,9,38,12/29/15,Reach,Last Update - 2015,7/15/14,1/2/15,4,0,Well,Burn it,Verbal
35149-01-021,Deir Dalloum 021,North,Akkar,Deir Dalloum,Al Bahssa,34.5305,36.0288,IS- Informal Settlement,Active,6,46,12/28/15,Reach,Last Update - 2015,7/10/14,6/1/13,3,1,Well,Burn it,None
35149-01-022,Deir Dalloum 022,North,Akkar,Deir Dalloum,Deir Dalloum,34.52714,36.00997,IS- Informal Settlement,Less than 4,1,14,12/28/15,Reach,Last Update - 2015,7/16/14,7/1/14,1,0,Well,Burn it,None
35149-01-023,Deir Dalloum 023,North,Akkar,Deir Dalloum,Deir Dalloum,34.5264,36.00871,IS- Informal Settlement,Less than 4,2,9,12/28/15,Reach,Last Update - 2015,7/16/14,5/1/13,1,1,Well,Burn it,None
35149-01-025,Deir Dalloum 025,North,Akkar,Deir Dalloum,Borj Al Arab,34.52518,36.00847,IS- Informal Settlement,Less than 4,1,7,12/30/15,Reach,Last Update - 2015,7/16/14,4/1/13,1,0,Well,Burn it,None
35149-01-027,Deir Dalloum 027,North,Akkar,Deir Dalloum,Borj Al Arab,34.52333,36.01314,IS- Informal Settlement,Active,8,63,12/28/15,Reach,Last Update - 2015,9/18/14,5/1/13,4,2,Well,Dump it outside the camp,Verbal
35149-01-028,Deir Dalloum 028,North,Akkar,Deir Dalloum,Deir Dalloum 28,34.53017,36.01657,IS- Informal Settlement,Active,8,55,12/29/15,Reach,Last Update - 2015,6/1/15,2/1/13,4,0,Well,Dump it outside the camp,None
35149-01-029,Deir Dalloum 029,North,Akkar,Deir Dalloum,Deir Dalloum 029,34.52698,36.01571,IS- Informal Settlement,Active,5,24,12/29/15,Reach,Last Update - 2015,6/2/15,6/1/13,2,2,Well,Burn it,None
35149-01-030,Deir Dalloum 030,North,Akkar,Deir Dalloum,Borj Al Arab,34.52134,36.00534,IS- Informal Settlement,Less than 4,1,5,12/29/15,Reach,Last Update - 2015,6/3/15,4/1/12,1,1,Well,Burn it,None
35149-01-031,Deir Dalloum 031,North,Akkar,Deir Dalloum,Borj Al Arab,34.5258,36.0077,IS- Informal Settlement,Less than 4,1,0,12/30/15,Reach,Last Update - 2015,6/3/15,4/25/13,0,0,,,
35149-01-032,Deir Dalloum 032,North,Akkar,Deir Dalloum,Deir Dalloum-Borj el Arab,34.52379,36.01477,IS- Informal Settlement,Active,8,34,12/28/15,Reach,Last Update - 2015,9/4/15,8/25/15,4,2,Well,Burn it,None
35149-01-033,Deir Dalloum 033,North,Akkar,Deir Dalloum,Borj Al Arab 16,34.52621,36.01799,IS- Informal Settlement,Active,7,66,12/28/15,Reach,Last Update - 2015,10/9/15,6/9/13,3,0,Water Trucking,Burn it,None
35149-01-034,Deir Dalloum 034,North,Akkar,Deir Dalloum,Al Bahssa,34.52752,36.02227,IS- Informal Settlement,Less than 4,1,4,12/28/15,Reach,Last Update - 2015,11/18/15,6/18/15,1,1,Well,Burn it,Written
35163-01-001,Jebrayel 001,North,Akkar,Jebrayel,Mokhayam Naiim al Hassan,34.52557,36.1147,IS- Informal Settlement,Active,12,70,12/28/15,Reach,Last Update - 2015,4/28/14,8/31/13,6,0,Well,Burn it,None
35167-01-001,Mar Touma 001,North,Akkar,Mar Touma,Mar touma 1,34.51358,36.02326,IS- Informal Settlement,Less than 4,3,15,12/29/15,Reach,Last Update - 2015,4/30/14,3/1/13,1,0,Well,Municipality Collection,Verbal
35167-01-002,Mar Touma 002,North,Akkar,Mar Touma,Mar Touma 2,34.52044,36.02275,IS- Informal Settlement,Less than 4,2,12,12/29/15,Reach,Last Update - 2015,7/7/14,7/21/13,1,0,Well,Municipality Collection,Verbal
35171-01-001,Tikrit 001,North,Akkar,Tikrit,Tikrit 1,34.52445,36.16867,IS- Informal Settlement,Active,4,20,12/28/15,Reach,Last Update - 2015,4/28/14,3/1/11,2,0,Well,Burn it,None
35211-01-001,Tall Aabbas El-Gharbi 001,North,Akkar,Tall Aabbas El-Gharbi,Hissa,34.5932,36.0625,IS- Informal Settlement,Less than 4,2,14,12/15/15,Reach,Last Update - 2015,5/9/14,8/1/13,0,4,Well,Burn it,Written
35211-01-003,Tall Aabbas El-Gharbi 003,North,Akkar,Tall Aabbas El-Gharbi,Tall Aabbas El-Gharbi 003,34.58287,36.06777,IS- Informal Settlement,Active,11,55,12/15/15,Reach,Last Update - 2015,2/4/14,8/24/12,6,2,Well,Burn it,Written
35211-01-006,Tall Aabbas El-Gharbi 006,North,Akkar,Tall Aabbas El-Gharbi,Tall Aabbas El-Gharbi(evicted),34.5862,36.059,IS- Informal Settlement,Less than 4,1,8,12/15/15,Reach,Last Update - 2015,4/4/14,10/1/12,0,0,Well,Burn it,Verbal
